date,commodity_en,commodity_ne,unit_en,unit_ne,min,max,avg
2026-06-25,Apple (Fuji),स्याउ (फूजी),Kg,के.जी.,290.0,300.0,295.0
2026-06-25,Apple (Jhole),स्याउ (झोले),Kg,के.जी.,160.0,165.0,162.5
2026-06-25,Banana (Nepali),केरा (नेपाली),Dozen,दर्जन,125.0,130.0,127.5
2026-06-25,Bitter Gourd,तितो करेला,Kg,के.जी.,55.0,60.0,57.5
2026-06-25,Bottle Gourd,लौका,Kg,के.जी.,35.0,40.0,37.5
2026-06-25,Brinjal Long,भन्टा लाम्चो,Kg,के.जी.,50.0,55.0,52.5
2026-06-25,Broad Leaf Mustard,रायो साग,Kg,के.जी.,75.0,80.0,77.5
2026-06-25,Cabbage (Local),बन्दा (लोकल),Kg,के.जी.,55.0,60.0,57.5
2026-06-25,Capsicum,भेडे खुर्सानी,Kg,के.जी.,100.0,110.0,105.0
2026-06-25,Carrot (Nepali),गाँजर (नेपाली),Kg,के.जी.,80.0,85.0,82.5
2026-06-25,Cauliflower (Local),काउली (स्थानीय),Kg,के.जी.,85.0,90.0,87.5
2026-06-25,Chilli Green (Bullet),खुर्सानी हरियो (बुलेट),Kg,के.जी.,75.0,80.0,77.5
2026-06-25,Chilli Green (Long),खुर्सानी हरियो (लाम्चो),Kg,के.जी.,80.0,85.0,82.5
2026-06-25,Coconut (Tender),नरिवल (काँचो),Kg,के.जी.,180.0,190.0,185.0
2026-06-25,Coriander Green,हरियो धनिया,Kg,के.जी.,150.0,160.0,155.0
2026-06-25,Cow Pea (Long),बोडी (तने),Kg,के.जी.,50.0,55.0,52.5
2026-06-25,Cucumber (Local),काँक्रो (लोकल),Kg,के.जी.,50.0,55.0,52.5
2026-06-25,French Bean (Local),घिउ सिमी (लोकल),Kg,के.जी.,60.0,65.0,62.5
2026-06-25,Garlic Dry (Chinese),सुकेको चाईनिज लसुन,Kg,के.जी.,220.0,230.0,225.0
2026-06-25,Garlic Dry (Nepali),सुकेको नेपाली लसुन,Kg,के.जी.,100.0,110.0,105.0
2026-06-25,Ginger,अदुवा,Kg,के.जी.,160.0,170.0,165.0
